"offset [um]","PinCount []","Freq [GHz]","dB(St(VCC_moving_T1,VCC_moving_T1)) []"
-100,0,15.5,-0.228272098530531
-100,0,15.6,-0.23325000715735
-100,0,15.7,-0.240908355559674
-100,0,15.8,-0.251672573999573
-100,0,15.9,-0.266287072509825
-100,0,16,-0.286152961837636
-100,0,16.1,-0.314237392422194
-100,0,16.2,-0.358013749384781
-100,0,16.3,-0.441908192285037
-100,0,16.4,-0.68909605507226
-100,0,16.5,-2.29454796829948
-100,0,16.6,-1.26980452540996
-100,0,16.7,-0.605501465360124
-100,0,16.8,-0.530139036781285
-100,0,16.9,-0.540287676742196
-100,0,17,-0.576918130516511
-100,0,17.1,-0.626913239109007
-100,0,17.2,-0.685815555374141
-100,0,17.3,-0.751130192947817
-100,0,17.4,-0.820668076210282
-100,0,17.5,-0.892989453436555
-100,0,17.6,-0.971803187750208
-100,0,17.7,-1.08234086869043
-100,0,17.8,-1.32141584233077
-100,0,17.9,-1.9613328748707
-100,0,18,-3.36266922145732
-100,0,18.1,-4.91944891369238
-100,0,18.2,-5.19476350722203
-100,0,18.3,-4.52711443135796
-100,0,18.4,-3.72247981342705
-100,0,18.5,-3.02799331528134
-100,0,18.6,-2.47063320327939
-100,0,18.7,-2.03317618045419
-100,0,18.8,-1.69352749327203
-100,0,18.9,-1.43227284692738
-100,0,19,-1.23393944481933
-100,0,19.1,-1.08693364680636
-100,0,19.2,-0.983230591847656
-100,0,19.3,-0.918162755271284
-100,0,19.4,-0.890508266494465
-100,0,19.5,-0.903076342179229
-100,0,19.6,-0.964029668494166
-100,0,19.7,-1.08909020083815
-100,0,19.8,-1.30370400681153
-100,0,19.9,-1.63884163201212
-100,0,20,-2.09622716065436
-100,0,20.1,-2.54494368040765
-100,0,20.2,-2.67903708325604
-100,0,20.3,-2.38353998020761
-100,0,20.4,-1.92445113639628
-100,0,20.5,-1.5311590171745
-100,0,20.6,-1.25544259133735
-100,0,20.7,-1.07810230515715
-100,0,20.8,-0.972757519553384
-100,0,20.9,-0.921069637543706
-100,0,21,-0.913462626198088
-100,0,21.1,-0.948002808526777
-100,0,21.2,-1.03056099876891
-100,0,21.3,-1.17725100008235
-100,0,21.4,-1.41986746228753
-100,0,21.5,-1.81228953320258
-100,0,21.6,-2.41444142629262
-100,0,21.7,-3.14546097954513
-100,0,21.8,-3.4690980005915
-100,0,21.9,-2.97971724909695
-100,0,22,-2.25098403024996
-100,0,22.1,-1.71859272111595
-100,0,22.2,-1.39708151140714
-100,0,22.3,-1.21329078358302
-100,0,22.4,-1.1126209117854
-100,0,22.5,-1.06313926708516
-100,0,22.6,-1.04682173662681
-100,0,22.7,-1.05332068080136
-100,0,22.8,-1.07648217852394
-100,0,22.9,-1.11244306414519
-100,0,23,-1.15852404468855
-100,0,23.1,-1.21247539175405
-100,0,23.2,-1.27179262156273
-100,0,23.3,-1.33283654195077
-100,0,23.4,-1.38934789287764
-100,0,23.5,-1.42979416595618
-100,0,23.6,-1.44269322346541
-100,0,23.7,-1.72722745309917
-100,0,23.8,-2.0306031279271
-100,0,23.9,-1.91175353190729
-100,0,24,-1.80117507391029
-100,0,24.1,-1.67623242422988
-100,0,24.2,-1.53786584015895
-100,0,24.3,-1.40539342347743
-100,0,24.4,-1.30776317020404
-100,0,24.5,-1.28937108568249
-100,0,24.6,-1.46574213726917
-100,0,24.7,-2.16645629899124
-100,0,24.8,-1.77836991911777
-100,0,24.9,-1.08193664350497
-100,0,25,-0.998546967866796
-100,0,25.1,-1.07978867948316
-100,0,25.2,-1.28440444391939
-100,0,25.3,-1.76751857689541
-100,0,25.4,-3.29035000820103
-100,0,25.5,-11.4557413082129
-100,0,25.6,-4.13988379275191
-100,0,25.7,-1.00077048090678
-100,0,25.8,-0.903046113960088
-100,0,25.9,-1.09113848175456
-100,0,26,-1.56171609858616
-100,0,26.1,-3.27428197175019
-100,0,26.2,-14.1029523125256
-100,0,26.3,-9.03497531584184
-100,0,26.4,-6.08758943936581
-100,0,26.5,-2.03911137050977
-100,0,26.6,-1.69958071287843
-100,0,26.7,-1.06347103959259
-100,0,26.8,-0.996774796800447
-100,0,26.9,-1.19231655195856
-100,0,27,-1.62985793579368
-100,0,27.1,-0.801490164458371
-100,0,27.2,-0.788186619246382
-100,0,27.3,-0.814465767240933
-100,0,27.4,-0.843921564080502
-100,0,27.5,-0.873269208769382
-100,0,27.6,-0.902145318447838
-100,0,27.7,-0.930585578757179
-100,0,27.8,-0.958682555769772
-100,0,27.9,-0.986529955539348
-100,0,28,-1.01421475741222
-100,0,28.1,-1.04181784347879
-100,0,28.2,-1.06941578497519
-100,0,28.3,-1.09708247718367
-100,0,28.4,-1.12489050988314
-100,0,28.5,-1.15291237337219
-100,0,28.6,-1.18122161777281
-100,0,28.7,-1.20989407547534
-100,0,28.8,-1.23900925847448
-100,0,28.9,-1.26865206248005
-100,0,29,-1.29891495374823
-100,0,29.1,-1.32990089469079
-100,0,29.2,-1.36172739949759
-100,0,29.3,-1.39453234387881
-100,0,29.4,-1.42848256087539
-100,0,29.5,-1.46378699218516
-100,0,29.6,-1.50071755541761
-100,0,29.7,-1.53964363482253
-100,0,29.8,-1.58109184083478
-100,0,29.9,-1.62585547742474
-100,0,30,-1.67520900746372
-100,0,30.1,-1.73136463361181
-100,0,30.2,-1.79855218467856
-100,0,30.3,-1.88594622300525
-100,0,30.4,-2.01713258082927
-100,0,30.5,-2.26684898330207
-100,0,30.6,-2.78824243427992
-100,0,30.7,-2.09983341887132
-100,0,30.8,-1.77378354011257
-100,0,30.9,-1.8065817140377
-100,0,31,-1.87133563613978
-100,0,31.1,-1.93716965519179
-100,0,31.2,-2.0014758327378
-100,0,31.3,-2.06483006506023
-100,0,31.4,-2.12803510245901
-100,0,31.5,-2.19174759492234
-100,0,31.6,-2.25647567593659
-100,0,31.7,-2.32262200814322
-100,0,31.8,-2.390521932597
-100,0,31.9,-2.46047253910438
-100,0,32,-2.53275602316051
-100,0,32.1,-2.607661670736
-100,0,32.2,-2.68551151059464
-100,0,32.3,-2.76669699750597
-100,0,32.4,-2.85174021670191
-100,0,32.5,-2.94140852884391
-100,0,32.6,-3.03695297700528
-100,0,32.7,-3.14066594456603
-100,0,32.8,-3.25740339080284
-100,0,32.9,-3.39980061796973
-100,0,33,-3.61458575718678
-100,0,33.1,-4.31362508289627
-100,0,33.2,-2.84961918101421
-100,0,33.3,-3.35474461213944
-100,0,33.4,-3.58967853370711
-100,0,33.5,-3.65503012805273
-100,0,33.6,-3.81128430577822
-100,0,33.7,-3.94346765752643
-100,0,33.8,-4.06766453076928
-100,0,33.9,-4.18811764513929
-100,0,34,-4.30614309326522
-100,0,34.1,-4.4220767625139
-100,0,34.2,-4.53578647537739
-100,0,34.3,-4.64686345375396
-100,0,34.4,-4.75471100825535
-100,0,34.5,-4.85859380662601
-100,0,34.6,-4.95767113841737
-100,0,34.7,-5.05102432226406
-100,0,34.8,-5.1376830995927
-100,0,34.9,-5.21665335360541
-100,0,35,-5.2869470670577
-100,0,35.1,-5.34761445897
-100,0,35.2,-5.39777748771593
-100,0,35.3,-5.4366633119463
-100,0,35.4,-5.46363587344474
-100,0,35.5,-5.47822355306898
-100,0,35.6,-5.48014088944233
-100,0,35.7,-5.46930265835366
-100,0,35.8,-5.44582916124961
-100,0,35.9,-5.41004229601894
-100,0,36,-5.36245277787819
-100,0,36.1,-5.30373962751485
